Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Iowa,US,2020-04-29 02:32:29,8,0,0,42.03657094,-93.9313999
Kentucky,US,2020-04-29 02:32:29,125,2,0,38.97065142,-84.72615357
Missouri,US,2020-04-29 02:32:29,99,1,0,38.99186229,-92.30723575
West Virginia,US,2020-04-29 02:32:29,2,0,0,38.01974191,-81.69888019
Texas,US,2020-04-29 02:32:29,4,0,0,31.89978581,-97.63613524
Louisiana,US,2020-04-29 02:32:29,277,14,0,32.67932307,-93.60460152
Virginia,US,2020-04-29 02:32:29,27,3,0,37.55531756,-79.80982182
Colorado,US,2020-04-29 02:32:29,543,33,0,40.09313619,-105.3546767
Idaho,US,2020-04-29 02:32:29,0,0,0,48.76684761,-116.4630179
Kansas,US,2020-04-29 02:32:29,6,1,0,37.85508555,-94.84865997
Kentucky,US,2020-04-29 02:32:29,7,1,0,38.2054607,-84.21827874
Texas,US,2020-04-29 02:32:29,69,1,0,33.44626922,-94.41834132
North Dakota,US,2020-04-29 02:32:29,1,0,0,46.11285362,-103.5203343
Nebraska,US,2020-04-29 02:32:29,1,0,0,42.22079243,-103.0878834
Kentucky,US,2020-04-29 02:32:29,33,3,0,38.36176608,-82.68652187
Kentucky,US,2020-04-29 02:32:29,17,0,0,37.62680923,-84.8633779
Kentucky,US,2020-04-29 02:32:29,7,0,0,38.69158994,-84.08532444
Florida,US,2020-04-29 02:32:29,44,2,0,29.95079741,-82.16611613
Pennsylvania,US,2020-04-29 02:32:29,28,2,0,41.78869215,-76.51570822
Arkansas,US,2020-04-29 02:32:29,8,1,0,33.46755808,-92.15980837
Tennessee,US,2020-04-29 02:32:29,46,1,0,35.15739424,-84.857186
Michigan,US,2020-04-29 02:32:29,53,2,0,41.91600556,-85.05929476
Georgia,US,2020-04-29 02:32:29,22,2,0,31.19576557,-81.97743999
West Virginia,US,2020-04-29 02:32:29,2,0,0,38.70036159,-80.72011184
Texas,US,2020-04-29 02:32:29,464,5,0,29.18757369,-95.44563172
Texas,US,2020-04-29 02:32:29,182,16,0,30.6636448,-96.30205577
Kentucky,US,2020-04-29 02:32:29,2,0,0,37.52333168,-83.31959161
Kentucky,US,2020-04-29 02:32:29,8,0,0,37.77377239,-86.42885017
Iowa,US,2020-04-29 02:32:29,48,3,0,42.77461496,-92.31795937
Florida,US,2020-04-29 02:32:29,268,8,0,28.29409504,-80.73091022
Massachusetts,US,2020-04-29 02:32:29,3270,155,0,41.79228404,-71.10872211
Rhode Island,US,2020-04-29 02:32:29,115,0,0,41.71018079,-71.28652315
Virginia,US,2020-04-29 02:32:29,1,0,0,36.6163024,-82.16359122
Montana,US,2020-04-29 02:32:29,4,0,0,46.33277565,-111.4955813
West Virginia,US,2020-04-29 02:32:29,3,0,0,40.27367263,-80.57915332
South Dakota,US,2020-04-29 02:32:29,12,0,0,44.36974375,-96.79079945
